Date,Adj Close
2016-05-20,139.0
2016-05-23,139.5
2016-05-24,136.25
2016-05-25,137.0
2016-05-26,136.5
2016-05-27,139.5
2016-05-30,140.0
2016-05-31,142.5
2016-06-01,137.0
2016-06-02,135.5
2016-06-03,131.0
2016-06-07,131.5
2016-06-08,133.0
2016-06-09,134.5
2016-06-10,131.0
2016-06-13,129.75
2016-06-14,127.0
2016-06-15,124.5
2016-06-16,118.0
2016-06-17,120.5
2016-06-20,123.75
2016-06-21,119.5
2016-06-22,119.5
2016-06-23,119.5
2016-06-27,112.0
2016-06-28,111.0
2016-06-29,116.0
2016-06-30,122.5
2016-07-01,121.0
2016-07-04,118.5
2016-07-05,117.0
2016-07-06,111.5
2016-07-07,111.25
2016-07-08,110.0
2016-07-11,110.75
2016-07-12,110.75
2016-07-13,118.0
2016-07-14,111.25
2016-07-15,117.5
2016-07-18,122.25
2016-07-19,123.0
2016-07-20,128.0
2016-07-21,126.0
2016-07-22,126.0
2016-07-25,127.5
2016-07-26,127.75
2016-07-27,124.75
2016-07-28,121.0
2016-07-29,118.75
2016-08-01,113.5
2016-08-02,112.0
2016-08-03,112.5
2016-08-04,114.0
2016-08-05,113.5
2016-08-08,111.0
2016-08-09,114.0
2016-08-10,116.0
2016-08-11,117.5
2016-08-12,116.25
2016-08-15,118.0
2016-08-16,116.75
2016-08-17,115.0
2016-08-18,117.75
2016-08-19,117.5
2016-08-22,118.0
2016-08-23,116.25
2016-08-24,117.0
2016-08-25,118.0
2016-08-26,116.5
2016-08-29,115.5
2016-08-30,115.0
2016-08-31,118.5
2016-09-01,119.5
2016-09-02,118.75
2016-09-05,116.75
2016-09-06,117.75
2016-09-07,120.0
2016-09-08,125.0
2016-09-09,126.0
2016-09-12,120.0
2016-09-13,120.0
2016-09-14,122.75
2016-09-15,122.0
2016-09-16,122.0
2016-09-19,120.0
2016-09-20,118.0
2016-09-21,119.25
2016-09-22,122.5
2016-09-23,118.5
2016-09-26,119.0
2016-09-27,120.75
2016-09-28,119.5
2016-09-29,119.25
2016-09-30,122.5
2016-10-03,127.0
2016-10-04,126.5
2016-10-05,126.0
2016-10-06,127.0
2016-10-07,125.0
2016-10-10,123.25
2016-10-11,122.0
2016-10-12,119.5
2016-10-13,123.0
2016-10-14,122.25
2016-10-17,119.5
2016-10-18,119.75
2016-10-19,125.0
2016-10-20,134.0
2016-10-21,133.0
2016-10-24,133.75
2016-10-25,132.75
2016-10-26,132.25
2016-10-27,130.75
2016-10-28,138.0
2016-10-31,134.25
2016-11-01,134.0
2016-11-02,124.75
2016-11-03,125.25
2016-11-04,122.0
2016-11-07,120.75
2016-11-08,120.5
2016-11-09,118.75
2016-11-10,120.0
2016-11-11,121.5
2016-11-14,118.75
2016-11-15,122.0
2016-11-16,123.0
2016-11-17,122.5
2016-11-18,122.0
2016-11-21,121.75
2016-11-22,127.75
2016-11-23,122.75
2016-11-24,120.75
2016-11-25,120.75
2016-11-28,120.0
2016-11-29,119.25
2016-11-30,120.0
2016-12-01,117.5
2016-12-02,116.25
2016-12-05,115.0
2016-12-06,117.0
2016-12-07,119.5
2016-12-08,119.5
2016-12-09,122.0
2016-12-12,125.0
2016-12-13,126.25
2016-12-14,123.5
2016-12-15,125.0
2016-12-16,126.5
2016-12-19,127.5
2016-12-20,126.75
2016-12-21,129.0
2016-12-22,129.0
2016-12-23,128.75
2016-12-27,131.0
2016-12-28,132.75
2016-12-29,132.0
2016-12-30,133.75
2017-01-02,133.0
2017-01-03,133.25
2017-01-04,126.0
2017-01-05,122.25
2017-01-09,119.5
2017-01-10,111.0
2017-01-11,107.5
2017-01-12,107.5
2017-01-13,109.5
2017-01-16,110.0
2017-01-17,107.75
2017-01-18,109.5
2017-01-19,107.25
2017-01-20,106.0
2017-01-23,101.25
2017-01-24,99.25
2017-01-25,100.0
2017-01-26,103.0
2017-01-27,102.5
2017-01-30,103.5
2017-01-31,102.0
2017-02-01,105.25
2017-02-02,110.0
2017-02-03,109.75
2017-02-06,106.25
2017-02-07,112.0
2017-02-08,110.5
2017-02-09,106.75
2017-02-10,108.75
2017-02-13,111.75
2017-02-14,101.5
2017-02-15,99.5
2017-02-16,101.75
2017-02-17,103.0
2017-02-20,101.5
2017-02-21,101.5
2017-02-22,97.5
2017-02-23,97.0
2017-02-24,96.0
2017-02-27,94.5
2017-02-28,97.0
2017-03-01,97.0
2017-03-02,99.0
2017-03-03,94.5
2017-03-06,92.0
2017-03-07,93.5
2017-03-08,95.25
2017-03-09,93.25
2017-03-10,94.25
2017-03-13,94.25
2017-03-14,93.5
2017-03-15,94.5
2017-03-16,94.0
2017-03-17,94.5
2017-03-20,95.75
2017-03-21,89.5
2017-03-22,85.5
2017-03-23,86.5
2017-03-24,86.0
2017-03-27,83.25
2017-03-28,83.25
2017-03-29,83.75
2017-03-30,82.75
2017-03-31,87.0
2017-04-03,89.75
2017-04-04,88.25
2017-04-05,78.25
2017-04-06,77.75
2017-04-07,78.5
2017-04-10,82.25
2017-04-11,80.0
2017-04-12,79.25
2017-04-13,80.75
2017-04-18,81.0
2017-04-19,82.25
2017-04-20,86.0
2017-04-21,86.0
2017-04-24,86.5
2017-04-25,86.5
2017-04-26,83.75
2017-04-27,86.0
2017-04-28,91.0
2017-05-02,93.75
2017-05-03,93.5
2017-05-04,91.0
2017-05-05,92.75
2017-05-08,93.0
2017-05-09,96.0
2017-05-10,95.0
2017-05-11,95.0
2017-05-12,95.0
2017-05-15,92.75
2017-05-16,89.75
2017-05-17,91.5
2017-05-18,89.75
2017-05-19,89.0
2017-05-22,89.25
2017-05-23,87.75
2017-05-24,89.25
2017-05-26,89.0
2017-05-29,87.75
2017-05-30,87.25
2017-05-31,87.75
2017-06-01,87.5
2017-06-02,87.5
2017-06-05,87.0
2017-06-06,87.0
2017-06-07,87.25
2017-06-08,88.25
2017-06-09,92.5
2017-06-12,89.5
2017-06-13,89.5
2017-06-14,89.5
2017-06-15,88.25
2017-06-16,88.25
2017-06-19,91.25
2017-06-20,91.75
2017-06-21,92.5
2017-06-22,98.0
2017-06-23,98.0
2017-06-26,96.0
2017-06-27,98.0
2017-06-28,97.25
2017-06-29,94.0
2017-06-30,97.0
2017-07-03,94.75
2017-07-04,91.5
2017-07-05,89.5
2017-07-06,90.5
2017-07-07,90.5
2017-07-10,90.75
2017-07-11,89.5
2017-07-12,90.0
2017-07-13,90.0
2017-07-14,90.75
2017-07-17,91.0
2017-07-18,89.25
2017-07-19,89.0
2017-07-20,88.75
2017-07-21,89.0
2017-07-24,88.25
2017-07-25,89.0
2017-07-26,73.0
2017-07-27,67.75
2017-07-28,67.5
2017-07-31,69.25
2017-08-01,74.75
2017-08-02,75.75
2017-08-03,74.25
2017-08-04,75.75
2017-08-07,72.0
2017-08-08,71.5
2017-08-09,75.0
2017-08-10,71.75
2017-08-11,70.5
2017-08-14,73.0
2017-08-15,71.75
2017-08-16,69.25
2017-08-17,68.5
2017-08-18,66.25
2017-08-21,65.25
2017-08-22,66.25
2017-08-23,66.0
2017-08-24,70.5
2017-08-25,71.0
2017-08-28,71.0
2017-08-29,69.5
2017-08-30,74.5
2017-08-31,74.5
2017-09-01,77.5
2017-09-04,79.75
2017-09-05,83.75
2017-09-06,82.0
2017-09-07,79.25
2017-09-08,80.25
2017-09-11,81.75
2017-09-12,82.75
2017-09-13,84.0
2017-09-14,85.0
2017-09-15,85.5
2017-09-18,84.5
2017-09-19,85.25
2017-09-20,85.5
2017-09-21,85.75
2017-09-22,84.0
2017-09-25,82.5
2017-09-26,81.25
2017-09-27,78.5
2017-09-28,78.0
2017-09-29,79.0
2017-10-02,82.0
2017-10-03,81.0
2017-10-04,82.75
2017-10-05,73.0
2017-10-06,74.0
2017-10-09,71.5
2017-10-10,71.25
2017-10-11,71.5
2017-10-12,72.0
2017-10-13,72.0
2017-10-16,76.75
2017-10-17,77.0
2017-10-18,74.75
2017-10-19,73.0
2017-10-20,75.5
2017-10-23,76.25
2017-10-24,77.0
2017-10-25,78.0
2017-10-26,77.5
2017-10-27,80.0
2017-10-30,87.5
2017-10-31,88.0
2017-11-01,91.25
2017-11-02,90.75
2017-11-03,89.75
2017-11-06,90.0
2017-11-07,89.5
2017-11-08,89.25
2017-11-09,88.5
2017-11-10,92.75
2017-11-13,93.25
2017-11-14,87.75
2017-11-15,88.25
2017-11-16,88.0
2017-11-17,87.5
2017-11-20,87.25
2017-11-21,89.75
2017-11-22,89.0
2017-11-23,89.75
2017-11-24,88.5
2017-11-27,87.0
2017-11-28,85.75
2017-11-29,84.0
2017-11-30,88.0
2017-12-01,87.5
2017-12-04,90.0
2017-12-05,89.5
2017-12-06,87.75
2017-12-07,88.75
2017-12-08,89.0
2017-12-11,90.0
2017-12-12,90.25
2017-12-13,88.25
2017-12-14,88.25
2017-12-15,88.5
2017-12-18,89.75
2017-12-19,90.75
2017-12-20,90.75
2017-12-21,90.0
2017-12-22,91.0
2017-12-27,93.0
2017-12-28,93.5
2017-12-29,96.0
2018-01-02,95.5
2018-01-03,92.0
2018-01-04,94.0
2018-01-05,94.4000015258789
2018-01-08,93.0
2018-01-09,106.0
2018-01-10,103.4000015258789
2018-01-11,100.0
2018-01-12,99.4000015258789
2018-01-15,98.5
2018-01-16,99.19999694824219
2018-01-17,99.5999984741211
2018-01-18,99.5
2018-01-19,100.4000015258789
2018-01-22,101.19999694824219
2018-01-23,101.0
2018-01-24,100.80000305175781
2018-01-25,101.0
2018-01-26,102.0
2018-01-29,105.4000015258789
2018-01-30,104.4000015258789
2018-01-31,105.4000015258789
2018-02-01,107.0
2018-02-02,106.4000015258789
2018-02-05,101.0
2018-02-06,98.5999984741211
2018-02-07,99.0
2018-02-08,101.0
2018-02-09,100.4000015258789
2018-02-12,103.0
2018-02-13,104.0
2018-02-14,104.0
2018-02-15,107.0
2018-02-16,106.5999984741211
2018-02-19,105.5999984741211
2018-02-20,105.5999984741211
2018-02-21,105.4000015258789
2018-02-22,105.80000305175781
2018-02-23,107.0
2018-02-26,106.80000305175781
2018-02-27,109.0
2018-02-28,112.0
2018-03-01,112.4000015258789
2018-03-02,112.0
2018-03-05,112.0
2018-03-06,110.0
2018-03-07,110.80000305175781
2018-03-08,110.4000015258789
2018-03-09,110.5999984741211
2018-03-12,117.5999984741211
2018-03-13,120.5999984741211
2018-03-14,119.0
2018-03-15,120.0
2018-03-16,120.0
2018-03-19,115.19999694824219
2018-03-20,116.0
2018-03-21,117.19999694824219
2018-03-22,114.0
2018-03-23,112.4000015258789
2018-03-26,105.5999984741211
2018-03-27,102.0
2018-03-28,101.0
2018-03-29,101.5999984741211
2018-04-03,98.80000305175781
2018-04-04,100.0
2018-04-05,99.19999694824219
2018-04-06,98.0
2018-04-09,96.5
2018-04-10,98.30000305175781
2018-04-11,95.9000015258789
2018-04-12,99.9000015258789
2018-04-13,102.0
2018-04-16,103.0
2018-04-17,105.0
2018-04-18,105.5999984741211
2018-04-19,108.0
2018-04-20,109.80000305175781
2018-04-23,107.19999694824219
2018-04-24,102.4000015258789
2018-04-25,99.0999984741211
2018-04-26,100.0
2018-04-27,103.0
2018-04-30,105.0
2018-05-02,104.0
2018-05-03,104.0
2018-05-04,104.80000305175781
2018-05-07,103.80000305175781
2018-05-08,106.0
2018-05-09,105.0
2018-05-11,104.0
2018-05-14,110.0
2018-05-15,115.0
2018-05-16,117.0
